44,-692,-245
44,-694,-245
46,-690,-245
47,-692,-245
47,-692,-244
46,-693,-243
45,-694,-247
45,-694,-248
33,-693,-242
11,-694,-235
-21,-695,-223
-52,-693,-207
-91,-694,-179
-122,-689,-151
-144,-690,-118
-158,-686,-100
-168,-688,-82
-177,-683,-71
-181,-682,-50
-187,-677,-26
-195,-672,1
-195,-669,28
-195,-666,44
-197,-664,46
-198,-670,28
-189,-678,-27
-166,-684,-78
-138,-687,-127
-116,-690,-159
-75,-692,-190
-36,-690,-213
6,-691,-232
29,-690,-240
36,-690,-244
42,-690,-246
43,-691,-246
41,-687,-245
45,-687,-246
44,-692,-246
45,-691,-244
45,-690,-244
45,-692,-248
44,-691,-247
43,-692,-245
45,-693,-244
44,-692,-244
45,-692,-246
44,-691,-245
20,-692,-237
-32,-694,-217
-74,-693,-192
-123,-689,-147
-157,-683,-99
-176,-679,-53
-188,-672,-24
-192,-666,16
-197,-659,50
-196,-659,74
-194,-656,86
-193,-654,86
-194,-657,84
-194,-657,79
-196,-657,77
-197,-657,77
-193,-660,82
-195,-660,81
-196,-665,51
-192,-673,-11
-180,-681,-56
-151,-685,-109
-118,-690,-156
-83,-689,-188
-50,-693,-208
-4,-694,-230
27,-693,-240
34,-690,-243
40,-692,-244
43,-691,-244
43,-690,-246
47,-688,-245
43,-689,-246
36,-693,-242
1,-691,-232
-35,-690,-218
-68,-691,-194
-88,-690,-181
-111,-686,-161
-128,-684,-144
-140,-682,-132
-147,-682,-124
-148,-683,-118
-147,-680,-115
-150,-678,-117
-145,-679,-122
-148,-678,-124
-144,-681,-125
-142,-678,-125
-136,-682,-135
-125,-684,-146
-98,-685,-172
-64,-691,-195
-25,-689,-217
5,-691,-235
29,-690,-240
42,-693,-245
41,-692,-245
41,-692,-246
42,-690,-247
42,-689,-247
43,-690,-243
44,-691,-246
42,-690,-245
45,-690,-247
31,-692,-243
-37,-695,-216
-105,-690,-166
-149,-690,-117
-177,-679,-55
-189,-675,-4
-189,-668,13
-189,-667,16
-189,-663,15
-187,-661,14
-188,-659,10
-188,-666,8
-189,-671,2
-195,-674,-5
-193,-677,-20
-185,-680,-54
-170,-686,-83
-140,-692,-130
-103,-690,-170
-62,-691,-201
-31,-694,-218
7,-694,-232
36,-692,-241
43,-692,-244
43,-692,-246
42,-691,-245
41,-689,-245
42,-692,-243
41,-691,-243
38,-690,-245
41,-692,-246
41,-692,-246
37,-691,-243
11,-692,-235
-43,-694,-211
-95,-693,-173
-140,-684,-129
-171,-672,-80
-191,-671,-47
-202,-660,-10
-212,-657,8
-215,-659,9
-217,-662,10
-220,-663,1
-215,-679,-17
-205,-684,-25
-196,-682,-25
-188,-681,-23
-186,-679,-15
-190,-677,-14
-187,-673,-12
-186,-675,-14
-186,-676,-12
-186,-674,-10
-185,-672,-11
-186,-672,-10
-186,-674,-9
-189,-672,-6
-189,-671,-5
-190,-667,-10
-193,-672,-9
-193,-672,-9
-192,-672,-8
-193,-672,-8
-192,-673,-10
-193,-671,-6
-192,-672,-9
-192,-673,-9
-190,-672,-8
